領域代碼/名稱,領域簡介,學門代碼/名稱,學門簡介,學類代碼/名稱,學類簡介,細學類代碼/名稱,細學類簡介
01 教育領域,屬於該領域之學類教導學生學習和教學有關的理論、方法、實務及相關的研究、行政和支援服務。,011 教育學門,包括教育學、學前教育、普通科目學科教學、專業科目學科教學等學類。,0114 專業科目師資教育學類,學習某一特定專業的教學理論、方法及實務，主要是針對高級中等學校或是更高的教育階段，培養學生專業工作必備的能力，通常也包括了將來要教導的專業科目之學習。相關課程及資格包含：技職師資培育、農業教育、工業教育、商管教育、藝術教育（音樂、美術、設計、戲劇、舞蹈等）、醫護教育、海事水產教育、餐旅教育、家政教育、外語教育等，課程要求包含理論科目、技術性科目、實習科目等。,01141 專業科目師資教育細學類,培養各專業科目教育師資與研究專業人才，包括衛生、家政、農業、工業、商業、資訊、音樂、美術、環境、運動（與休閒）、技職、醫護教育等科目。
01 教育領域,屬於該領域之學類教導學生學習和教學有關的理論、方法、實務及相關的研究、行政和支援服務。,011 教育學門,包括教育學、學前教育、普通科目學科教學、專業科目學科教學等學類。,0119 其他教育學類,所有不屬於上述分類之教育學門之課程及資格。,01199 其他教育細學類,所有不屬於上述分類之教育學門之課程及資格。
02 藝術及人文領域,屬於該領域之學類教導學生有關人文或藝術方面的理論、創作及實踐之學習。,021 藝術學門,包括美術、行政、雕刻工藝、音樂、及將藝術應用到表演、數位多媒體、印刷出版等方面。,0211 視聽技術及媒體製作學類,學習製作書籍或報紙、廣播或電視節目製作、電影或動態影像製作、錄製式音樂製作及圖像再製、色彩的再製、攝影及電腦繪製圖像，並學習如何將圖片、文字及裝飾結合在一起，以生產書籍、雜誌、海報、廣告等。相關課程及資格包含：動畫、插圖、攝影、印刷、排版等。,02111 視覺藝術細學類,培育能結合科技與藝術人文，應用在電影實務創作、科技應用、理論研究、音像動畫創作等多媒體方面的人才。
02 藝術及人文領域,屬於該領域之學類教導學生有關人文或藝術方面的理論、創作及實踐之學習。,021 藝術學門,包括美術、行政、雕刻工藝、音樂、及將藝術應用到表演、數位多媒體、印刷出版等方面。,0211 視聽技術及媒體製作學類,學習製作書籍或報紙、廣播或電視節目製作、電影或動態影像製作、錄製式音樂製作及圖像再製、色彩的再製、攝影及電腦繪製圖像，並學習如何將圖片、文字及裝飾結合在一起，以生產書籍、雜誌、海報、廣告等。相關課程及資格包含：動畫、插圖、攝影、印刷、排版等。,02112 視覺傳達設計細學類,培育具備人文藝術、視覺設計及資訊數位科技之專業，以及造形設計、數位遊戲、電腦動畫、網路數位服務等方面的人才。
02 藝術及人文領域,屬於該領域之學類教導學生有關人文或藝術方面的理論、創作及實踐之學習。,021 藝術學門,包括美術、行政、雕刻工藝、音樂、及將藝術應用到表演、數位多媒體、印刷出版等方面。,0212 時尚、室內設計及工業設計學類,學習創意的結合線條、形狀及材料，用於時尚服裝、工業產品及室內設計等設計與建造。相關課程及資格包含：服裝設計、工業產品設計、時裝設計、室內建築、室內設計、舞台設計等。,02121 應用藝術細學類,培育高級媒體專業人才、造型設計人才，學生能將藝術應用於美術、工藝創作、廣播、電視、電影、戲劇、平面傳播、電腦等各類媒體及造型創作與設計方面。
02 藝術及人文領域,屬於該領域之學類教導學生有關人文或藝術方面的理論、創作及實踐之學習。,021 藝術學門,包括美術、行政、雕刻工藝、音樂、及將藝術應用到表演、數位多媒體、印刷出版等方面。,0212 時尚、室內設計及工業設計學類,學習創意的結合線條、形狀及材料，用於時尚服裝、工業產品及室內設計等設計與建造。相關課程及資格包含：服裝設計、工業產品設計、時裝設計、室內建築、室內設計、舞台設計等。,02122 綜合設計細學類,培育具備結合科技、人文藝術與設計的能力、藝文設計管理與經營、流行工藝設計、造形創作、時尚產業、數位遊戲、數位動畫、數位學習內容設計與管理之知能，以培養學界與業界實務與理論兼具的設計相關人才。
02 藝術及人文領域,屬於該領域之學類教導學生有關人文或藝術方面的理論、創作及實踐之學習。,021 藝術學門,包括美術、行政、雕刻工藝、音樂、及將藝術應用到表演、數位多媒體、印刷出版等方面。,0212 時尚、室內設計及工業設計學類,學習創意的結合線條、形狀及材料，用於時尚服裝、工業產品及室內設計等設計與建造。相關課程及資格包含：服裝設計、工業產品設計、時裝設計、室內建築、室內設計、舞台設計等。,02123 產品設計細學類,培育具備整合行銷傳播、工商知識、現代科技、造形美學、視覺傳達與設計的能力，以及商業、工業、工商業、玩具、遊戲、生活產品等相關領域之產品設計人才。
02 藝術及人文領域,屬於該領域之學類教導學生有關人文或藝術方面的理論、創作及實踐之學習。,021 藝術學門,包括美術、行政、雕刻工藝、音樂、及將藝術應用到表演、數位多媒體、印刷出版等方面。,0212 時尚、室內設計及工業設計學類,學習創意的結合線條、形狀及材料，用於時尚服裝、工業產品及室內設計等設計與建造。相關課程及資格包含：服裝設計、工業產品設計、時裝設計、室內建築、室內設計、舞台設計等。,02124 空間設計細學類,培育熟知裝修工程技術，且能獨立設計與管理的室內設計實務人才。
02 藝術及人文領域,屬於該領域之學類教導學生有關人文或藝術方面的理論、創作及實踐之學習。,021 藝術學門,包括美術、行政、雕刻工藝、音樂、及將藝術應用到表演、數位多媒體、印刷出版等方面。,0212 時尚、室內設計及工業設計學類,學習創意的結合線條、形狀及材料，用於時尚服裝、工業產品及室內設計等設計與建造。相關課程及資格包含：服裝設計、工業產品設計、時裝設計、室內建築、室內設計、舞台設計等。,02125 時尚設計與管理細學類,培育與服飾有關之設計、生產、管理、經營、貿易、諮詢、企劃與技術之人才。
02 藝術及人文領域,屬於該領域之學類教導學生有關人文或藝術方面的理論、創作及實踐之學習。,021 藝術學門,包括美術、行政、雕刻工藝、音樂、及將藝術應用到表演、數位多媒體、印刷出版等方面。,0213 美術學類,學習結合理論、歷史、技術、表演，用視覺的型態進行創意的表達以及美術作品的製作。相關課程及資格包含：藝術理論、書法、蝕刻、美術印刷製作、藝術史等。,02131 純藝術細學類,培養理論與實際並重、融合中西藝術之藝術專業人才，包含藝術創作、版畫藝術、藝術理論、藝術教育、藝術行政、電腦藝術與設計等領域，以提升藝術與文化水準。
02 藝術及人文領域,屬於該領域之學類教導學生有關人文或藝術方面的理論、創作及實踐之學習。,021 藝術學門,包括美術、行政、雕刻工藝、音樂、及將藝術應用到表演、數位多媒體、印刷出版等方面。,0213 美術學類,學習結合理論、歷史、技術、表演，用視覺的型態進行創意的表達以及美術作品的製作。相關課程及資格包含：藝術理論、書法、蝕刻、美術印刷製作、藝術史等。,02132 雕塑細學類,培育具備雕塑基本學識與專業知能，融合東、西方文化藝術特質，以培養現代雕塑藝術創作及拓展雕塑創作舞台人才。
02 藝術及人文領域,屬於該領域之學類教導學生有關人文或藝術方面的理論、創作及實踐之學習。,021 藝術學門,包括美術、行政、雕刻工藝、音樂、及將藝術應用到表演、數位多媒體、印刷出版等方面。,0214 手工藝學類,學習某一個工藝的技藝及技能，例如珠寶、陶器、編織、木雕等。相關課程及資格包含：陶瓷、工藝、民俗藝術、裝飾用金屬工藝、原住民工藝等。,02141 美術工藝細學類,培育具備美術工藝之知識與技能、產品設計、工藝創作及工藝藝術行銷管理能力之美術工藝專業人才。
02 藝術及人文領域,屬於該領域之學類教導學生有關人文或藝術方面的理論、創作及實踐之學習。,021 藝術學門,包括美術、行政、雕刻工藝、音樂、及將藝術應用到表演、數位多媒體、印刷出版等方面。,0214 手工藝學類,學習某一個工藝的技藝及技能，例如珠寶、陶器、編織、木雕等。相關課程及資格包含：陶瓷、工藝、民俗藝術、裝飾用金屬工藝、原住民工藝等。,02142 民俗藝術細學類,培養民俗藝術相關的專門人才，包括民俗藝術研究、傳統藝術研究等。
02 藝術及人文領域,屬於該領域之學類教導學生有關人文或藝術方面的理論、創作及實踐之學習。,021 藝術學門,包括美術、行政、雕刻工藝、音樂、及將藝術應用到表演、數位多媒體、印刷出版等方面。,0215 音樂及表演藝術學類 ,學習關於音樂、作曲（音樂）、表演、導演、芭蕾舞、編舞蹈及舞台藝術等表演有關的原理及技藝。,02151 音樂細學類,培育音樂教育師資及演唱演奏等音樂專業人才，除研究、推廣、製作與保存本國音樂、世界音樂、民族音樂等音樂文化外，也結合現代科技，同時注重音樂演奏、製作、音樂創作、演唱等方面。
02 藝術及人文領域,屬於該領域之學類教導學生有關人文或藝術方面的理論、創作及實踐之學習。,021 藝術學門,包括美術、行政、雕刻工藝、音樂、及將藝術應用到表演、數位多媒體、印刷出版等方面。,0215 音樂及表演藝術學類 ,學習關於音樂、作曲（音樂）、表演、導演、芭蕾舞、編舞蹈及舞台藝術等表演有關的原理及技藝。,02152 表演藝術細學類,培育表演藝術人才，舞蹈方面之表演、編排、教育、行政以及戲劇方面之導演、表演、編劇、劇場設計、理論研究等人才。
02 藝術及人文領域,屬於該領域之學類教導學生有關人文或藝術方面的理論、創作及實踐之學習。,021 藝術學門,包括美術、行政、雕刻工藝、音樂、及將藝術應用到表演、數位多媒體、印刷出版等方面。,0219 其他藝術學類,所有不屬於上述分類之藝術學門之課程及資格。,02191 綜合藝術細學類,培育藝術相關的專門人才，包括藝術史研究、藝術教育推廣、藝術評論、藝術史理論與文物鑑定、田野考察與考古發掘工作訓練、文物保存知識與修復技能、環境與藝術等。
02 藝術及人文領域,屬於該領域之學類教導學生有關人文或藝術方面的理論、創作及實踐之學習。,021 藝術學門,包括美術、行政、雕刻工藝、音樂、及將藝術應用到表演、數位多媒體、印刷出版等方面。,0219 其他藝術學類,所有不屬於上述分類之藝術學門之課程及資格。,02192 藝術行政細學類,培育優良的藝術行政管理人才，包括表演藝術、文化政策、藝術管理、文化資產保存等。
02 藝術及人文領域,屬於該領域之學類教導學生有關人文或藝術方面的理論、創作及實踐之學習。,021 藝術學門,包括美術、行政、雕刻工藝、音樂、及將藝術應用到表演、數位多媒體、印刷出版等方面。,0219 其他藝術學類,所有不屬於上述分類之藝術學門之課程及資格。,02199 其他藝術細學類,所有不屬於上述分類之藝術學門之課程及資格。
02 藝術及人文領域,屬於該領域之學類教導學生有關人文或藝術方面的理論、創作及實踐之學習。,022 人文學門,包含語言、歷史、宗教和哲學等方面。,0221 宗教學類,學習宗教信仰、觀念、符號、表述及經文內容。相關課程及資格包含：宗教史、聖書研究、不同宗教研究、神學等。,02211 宗教細學類,培育宗教學術研究、教育、宗教機構發展、管理與服務之人才。
02 藝術及人文領域,屬於該領域之學類教導學生有關人文或藝術方面的理論、創作及實踐之學習。,022 人文學門,包含語言、歷史、宗教和哲學等方面。,0222 歷史及考古學學類,學習過去的事件，特別是一個國家、洲或全世界的政治、社會及經濟發展。考古學是學習採用科學的方法，分析地下挖掘出來的古代文明。相關課程及資格包含：考古學、文化史、民俗研究、歷史、文學史等。,02221 歷史細學類,使學生具備中國史、臺灣史、世界各國史等方面的歷史研究能力，結合人文與科學、史地，培養兼具獨立思考能力、理論與實務之歷史專業人才。
02 藝術及人文領域,屬於該領域之學類教導學生有關人文或藝術方面的理論、創作及實踐之學習。,022 人文學門,包含語言、歷史、宗教和哲學等方面。,0222 歷史及考古學學類,學習過去的事件，特別是一個國家、洲或全世界的政治、社會及經濟發展。考古學是學習採用科學的方法，分析地下挖掘出來的古代文明。相關課程及資格包含：考古學、文化史、民俗研究、歷史、文學史等。,02222 人類學及民族學細學類,此學類之系所利用挖掘的出土物以進行系統性研究、分析及說明過去生物或人類社群的生活型態，另包含人類學與發展研究和民族研究人才，促進對自己（臺灣文化、原住民文化、閩南與客家文化）與異己文化和語言的了解與保存，強調族族與文化的關係，進而拓展多元文化的視野。
02 藝術及人文領域,屬於該領域之學類教導學生有關人文或藝術方面的理論、創作及實踐之學習。,022 人文學門,包含語言、歷史、宗教和哲學等方面。,0222 歷史及考古學學類,學習過去的事件，特別是一個國家、洲或全世界的政治、社會及經濟發展。考古學是學習採用科學的方法，分析地下挖掘出來的古代文明。相關課程及資格包含：考古學、文化史、民俗研究、歷史、文學史等。,02223 文獻學細學類,培育漢語文化、漢學資料整理及古典文獻學研究等人才。
02 藝術及人文領域,屬於該領域之學類教導學生有關人文或藝術方面的理論、創作及實踐之學習。,022 人文學門,包含語言、歷史、宗教和哲學等方面。,0223 哲學學類,學習哲學、倫理學、人生觀和世界觀。相關課程及資格包含：形上學、知識論、道德政治哲學、科學哲學、語言哲學、心靈哲學、哲學史、邏輯等。,02231 哲學細學類,培養哲學研究之專業人才，使學生具備善用思考能力和人文素養，及整合哲學與其他科學之專業能力。
02 藝術及人文領域,屬於該領域之學類教導學生有關人文或藝術方面的理論、創作及實踐之學習。,022 人文學門,包含語言、歷史、宗教和哲學等方面。,0229 其他人文學類,所有不屬於上述分類之人文學門之課程及資格。,02299 其他人文細學類,所有不屬於上述分類之人文學門之課程及資格。
02 藝術及人文領域,屬於該領域之學類教導學生有關人文或藝術方面的理論、創作及實踐之學習。,023 語文學門,包含外國語文及本國語文等學類。,0231 外國語文學學類,針對外國語言，學習其語言結構、文化、該語言之教學或翻譯。,02311 外國語文細學類,屬於該學類之系所培育英語、法語、德語、西班牙語、日語、韓語、阿拉伯語、俄語等非本國語文之人才以拓展國際文化視野，加強國際文化交流。
02 藝術及人文領域,屬於該領域之學類教導學生有關人文或藝術方面的理論、創作及實踐之學習。,023 語文學門,包含外國語文及本國語文等學類。,0231 外國語文學學類,針對外國語言，學習其語言結構、文化、該語言之教學或翻譯。,02312 翻譯細學類,屬於該學類之系所配合全球化、國際化及經貿發展需求，以及因應世界各國間文化、經濟、國際產業合作與學術交流，培養具多國語言能力的優秀專業口譯、筆譯人才。
02 藝術及人文領域,屬於該領域之學類教導學生有關人文或藝術方面的理論、創作及實踐之學習。,023 語文學門,包含外國語文及本國語文等學類。,0231 外國語文學學類,針對外國語言，學習其語言結構、文化、該語言之教學或翻譯。,02313 華語文為第二語言細學類,華語文為第二語言或外語細學類之系所，主要培育教授華語非母語人士之華語教師及相關研究產業人才、研究國際社會中，華語語言與文化的習得以及應用現代科技發展有效的國際華語學習模式。非華語母語者可透過第二語言之學習模式，有效習得華語語言與文化並接受專業華語的相關訓練。
02 藝術及人文領域,屬於該領域之學類教導學生有關人文或藝術方面的理論、創作及實踐之學習。,023 語文學門,包含外國語文及本國語文等學類。,0232 本國語文學學類,針對本國語言，學習其語言結構、文化、該語言之教學。,02321 臺灣語文細學類,屬於該學類之系所培育閩南語、客家語、原住民語言等之研究、文學、創作、應用人才，並結合資訊科技，使學生具有厚實的文化涵養、提升文化學術、配合國家人力需求與就業導向，實踐社會關懷，發揚臺灣語文文化。
02 藝術及人文領域,屬於該領域之學類教導學生有關人文或藝術方面的理論、創作及實踐之學習。,023 語文學門,包含外國語文及本國語文等學類。,0232 本國語文學學類,針對本國語言，學習其語言結構、文化、該語言之教學。,02322 中國語文細學類,屬於該學類之系所培育中國語文等之研究、文學、創作、應用人才，並結合資訊科技，使學生具有厚實的文化涵養、提升文化學術、配合國家人力需求與就業導向，實踐社會關懷。
02 藝術及人文領域,屬於該領域之學類教導學生有關人文或藝術方面的理論、創作及實踐之學習。,023 語文學門,包含外國語文及本國語文等學類。,0232 本國語文學學類,針對本國語言，學習其語言結構、文化、該語言之教學。,02323 華語文細學類,培育國內外華語文教學、推廣、實務應用之人才。使學生具備漢語語言學知識、華文文學與文化知識、華語教學知識、從事華語教學研究知識等華語教學能力。也具備華語文教材編寫能力、華語文數位教學能力、華語文測驗評量能力等華語應用能力。
02 藝術及人文領域,屬於該領域之學類教導學生有關人文或藝術方面的理論、創作及實踐之學習。,023 語文學門,包含外國語文及本國語文等學類。,0239 其他語文學類,所有不屬於上述分類之語文學門之課程及資格。,02399 其他語文細學類,所有不屬於上述分類之語文學門細學類之課程及資格。
03 社會科學、新聞學及圖書資訊領域,屬於該領域之學類教導學生進行有關社會及行為科學、新聞及圖書資訊的理論及實務之學習。,031 社會及行為科學學門,包含經濟、政治、社會、心理學、地理等學類。,0311 經濟學學類,關於經濟理論、經濟政策及經濟決策的學習。相關課程及資格包含：計量經濟學、經濟史、區域經濟、產業經濟、政治經濟學等。,03111 經濟學細學類,使學生具備一般經濟學理論基礎，也具備企管、合作、世界經濟脈動、管理、社會、法律、財務等各領域知識，培養具有創新精神、專業能力、綜合能力及解決問題之經濟研究和管理人才。
03 社會科學、新聞學及圖書資訊領域,屬於該領域之學類教導學生進行有關社會及行為科學、新聞及圖書資訊的理論及實務之學習。,031 社會及行為科學學門,包含經濟、政治、社會、心理學、地理等學類。,0312 政治學及相關學類,學習有關政府及政治原理或實務，也包含公民的權利及義務。相關課程及資格包含：人權、國際關係、和平及衝突研究、政治史、公共政策研究等。,03121 政治學細學類,使學生具備結合當代政治學理論與研究方法的能力，培養國內政治和研究人才，及熟悉全球政經運作原理與世界政經脈動、國民外交、談判溝通及全球公共外交之國際事務人才。
03 社會科學、新聞學及圖書資訊領域,屬於該領域之學類教導學生進行有關社會及行為科學、新聞及圖書資訊的理論及實務之學習。,031 社會及行為科學學門,包含經濟、政治、社會、心理學、地理等學類。,0312 政治學及相關學類,學習有關政府及政治原理或實務，也包含公民的權利及義務。相關課程及資格包含：人權、國際關係、和平及衝突研究、政治史、公共政策研究等。,03122 國際關係細學類,培養具國際關係、國際事務、國際戰略、外交及國際組織等人才。
03 社會科學、新聞學及圖書資訊領域,屬於該領域之學類教導學生進行有關社會及行為科學、新聞及圖書資訊的理論及實務之學習。,031 社會及行為科學學門,包含經濟、政治、社會、心理學、地理等學類。,0313 心理學學類,學習個別差異、經驗和環境對人的心智和行為的影響。相關課程及資格包含：認知科學、心理分析、心理學、心理治療等。,03131 心理學細學類,包含心理學、精神醫學、神經醫學及復健醫學等領域，提供社會科學與自然科學兼具之訓練，培育具備諮商與輔導專業，以及心理、教學與評量能力、應用與研究並重之臨床與諮商心理學人才。
03 社會科學、新聞學及圖書資訊領域,屬於該領域之學類教導學生進行有關社會及行為科學、新聞及圖書資訊的理論及實務之學習。,031 社會及行為科學學門,包含經濟、政治、社會、心理學、地理等學類。,0314 社會學及相關學類,學習人類在團體和社會的行為方式，也包含社會人類學以及人和社會地圖學等。相關課程包含：地理和區域研究等。,03141 社會學細學類,使學生具備社會分析、社會學研究的能力，以培養結合人文與社會關懷、協助社會發展、引領社會變遷的人才。
03 社會科學、新聞學及圖書資訊領域,屬於該領域之學類教導學生進行有關社會及行為科學、新聞及圖書資訊的理論及實務之學習。,031 社會及行為科學學門,包含經濟、政治、社會、心理學、地理等學類。,0314 社會學及相關學類,學習人類在團體和社會的行為方式，也包含社會人類學以及人和社會地圖學等。相關課程包含：地理和區域研究等。,03142 地理學細學類,培養地理學專業人才，配合學術研究、政策分析發展，妥善規劃各種地理環境資源等。
03 社會科學、新聞學及圖書資訊領域,屬於該領域之學類教導學生進行有關社會及行為科學、新聞及圖書資訊的理論及實務之學習。,031 社會及行為科學學門,包含經濟、政治、社會、心理學、地理等學類。,0314 社會學及相關學類,學習人類在團體和社會的行為方式，也包含社會人類學以及人和社會地圖學等。相關課程包含：地理和區域研究等。,03143 區域研究細學類,使學生具備探討不同世界、不同區域的特性、社會、歷史背景與文化變遷的能力，包括東北亞、東南亞、太平洋島嶼。北美洲、南美洲、歐洲、非洲等區域之研究。
03 社會科學、新聞學及圖書資訊領域,屬於該領域之學類教導學生進行有關社會及行為科學、新聞及圖書資訊的理論及實務之學習。,031 社會及行為科學學門,包含經濟、政治、社會、心理學、地理等學類。,0319 其他社會及行為科學學類,所有不屬於上述分類之社會及行為科學學門之課程及資格。,03191 發展研究細學類,學習有關發展研究理論與實務，涵括多尺度、多層次、多面向的社會科學各領域，整合政治、社會、經濟、歷史、地理、生態學的思想，研析現代化、另類發展、國際發展、永續發展、人類安全等跨學科的發展議題。
03 社會科學、新聞學及圖書資訊領域,屬於該領域之學類教導學生進行有關社會及行為科學、新聞及圖書資訊的理論及實務之學習。,031 社會及行為科學學門,包含經濟、政治、社會、心理學、地理等學類。,0319 其他社會及行為科學學類,所有不屬於上述分類之社會及行為科學學門之課程及資格。,03199 其他社會及行為科學細學類,所有不屬於上述分類之社會及行為科學學門之課程及資格。
03 社會科學、新聞學及圖書資訊領域,屬於該領域之學類教導學生進行有關社會及行為科學、新聞及圖書資訊的理論及實務之學習。,032 新聞學及圖書資訊學門,結合藝術與文化、傳播與科技、行銷企劃學以及人文社會等相關領域，培育數位媒體、視訊、動畫等大眾傳播之研究與教學各方面之人才。,0321 新聞學及傳播相關學類,學習新聞/報導的理論和實務，學習內容為文字措辭和訊息內容，包含新聞報導、撰寫評論，以及傳播相關專業的人才培養，包括語文傳播、口語傳播、說服傳播、公眾傳播等。相關課程及資格包含：廣播新聞、編輯、資訊、新聞學、大眾傳播、新聞報導以及傳播相關課程等。,03211 大眾傳播細學類,須經由大眾媒體傳送出去的傳播都屬於此一類別，大眾媒體包括報紙、雜誌、廣告、小說等。
